system:index,VH,VV,.geo
0,-20.025476088997163,-12.354627390536475,"{""type"":""Point"",""coordinates"":[79.22172250457919,17.06936904703689]}"
1,-17.326364810863115,-9.763875956299582,"{""type"":""Point"",""coordinates"":[79.3103909434536,16.97986525190071]}"
2,-18.558638666665253,-11.072210282743296,"{""type"":""Point"",""coordinates"":[79.34791124638814,17.030229614259166]}"
3,-19.862415178590457,-10.367734438823717,"{""type"":""Point"",""coordinates"":[79.29644184947225,17.127904832832826]}"
4,-19.17476077435404,-12.459309767771408,"{""type"":""Point"",""coordinates"":[79.26241613051191,17.009605231937847]}"
5,-19.619190122549377,-11.206408101656438,"{""type"":""Point"",""coordinates"":[79.2043626129108,17.015589364708006]}"
6,-16.194837914327838,-8.890152797543108,"{""type"":""Point"",""coordinates"":[79.29202533018488,17.03880765536607]}"
7,-16.915399084165713,-10.660014810307768,"{""type"":""Point"",""coordinates"":[79.31255829735002,16.998796149843038]}"
8,-23.852036982367242,-14.599135689731826,"{""type"":""Point"",""coordinates"":[79.24625762246627,17.126494435274562]}"
9,-17.018265613200136,-10.233477988971586,"{""type"":""Point"",""coordinates"":[79.23715113947607,17.10135116424289]}"
10,-18.29510393619466,-11.360851867166865,"{""type"":""Point"",""coordinates"":[79.22274624963916,17.071262462276287]}"
11,-21.376677930092086,-13.241241058875573,"{""type"":""Point"",""coordinates"":[79.25916975126272,17.044586602646476]}"
12,-18.660550528084908,-11.33159063337577,"{""type"":""Point"",""coordinates"":[79.24009756300356,17.08178267105987]}"
13,-23.299956622846846,-14.175648303064428,"{""type"":""Point"",""coordinates"":[79.26487042828067,17.13710364910967]}"
14,-18.033113118472258,-11.880133195031426,"{""type"":""Point"",""coordinates"":[79.35336293986775,17.031339936232524]}"
15,-18.685844924496784,-12.123511607427295,"{""type"":""Point"",""coordinates"":[79.19262675396102,17.03831503340618]}"
16,-17.42529899537646,-10.425016406549688,"{""type"":""Point"",""coordinates"":[79.21486545752464,16.998530678686254]}"
17,-27.308731395606873,-20.555706037783885,"{""type"":""Point"",""coordinates"":[79.30239835881407,16.985043731342223]}"
18,-21.30876570882794,-14.131194229253854,"{""type"":""Point"",""coordinates"":[79.18859291328911,17.09405894634541]}"
19,-20.83721162573084,-13.443792134397466,"{""type"":""Point"",""coordinates"":[79.358045468616,17.04256221219821]}"
20,-19.13489091994598,-10.680400065138842,"{""type"":""Point"",""coordinates"":[79.26585739837834,17.11139856976363]}"
21,-21.04695915331902,-10.826054318439029,"{""type"":""Point"",""coordinates"":[79.3095054515174,17.012110408073934]}"
22,-14.956530057130342,-5.416754256280948,"{""type"":""Point"",""coordinates"":[79.2611529822478,17.052383581806637]}"
23,-16.424253427063846,-8.886919693328911,"{""type"":""Point"",""coordinates"":[79.25213404387881,17.03939207524014]}"
24,-17.31665872660019,-9.360832041249648,"{""type"":""Point"",""coordinates"":[79.30492360673811,16.988911070835293]}"
25,-18.253722880780096,-9.433865768728962,"{""type"":""Point"",""coordinates"":[79.2787868546749,17.0826203675297]}"
26,-18.61373585516631,-9.853414499773015,"{""type"":""Point"",""coordinates"":[79.3111041370708,17.04436626002814]}"
